name,rating,review_count,price,categories,latitude,longitude,address,city_queried
Lillies of the Field,4.9,19,,Thrift Stores,40.7392457,-111.8905797,"1401 S Main St Salt Lake City, UT 84115","Lehi, UT"
Habitat For Humanity - Spanish Fork,0.0,0,,"Thrift Stores, Hardware Stores, Furniture Stores",40.091568587209,-111.6580804535254,"253 Arrowhead Trl Spanish Fork, UT 84660","Lehi, UT"
Goodwill Store,2.8,31,$,"Thrift Stores, Donation Center, Community Service/Non-Profit",40.639627,-111.889111,"6042 S State St Murray, UT 84107","Lehi, UT"
Savers,2.8,37,$,"Thrift Stores, Donation Center",40.6197558,-111.8912993,"39 W 7200th S Midvale, UT 84047","Lehi, UT"
Hamilton Family Thrift,3.0,2,,Thrift Stores,40.710939604187594,-112.0955762843162,"8573 W Magna Main St Magna, UT 84044","Lehi, UT"
Ambitchious Thrift,0.0,0,,"Thrift Stores, Used, Vintage & Consignment",40.60282068269119,-112.03763423346945,"West Jordan, UT 84081","Lehi, UT"
Savers,2.6,38,$,"Thrift Stores, Donation Center",40.7018864,-111.7946003,"3171 E 3300th S Salt Lake City, UT 84109","Lehi, UT"
The Thrifty Locker,5.0,1,,"Thrift Stores, Toy Stores, Children's Clothing",40.598445610320255,-111.91010218954924,"8734 S Main St Midvale, UT 84047","Lehi, UT"
Little Britches Clothing,0.0,0,,"Children's Clothing, Thrift Stores",40.53664713808339,-112.2871145,"272 N Broadway St Ste 7 Tooele, UT 84074","Lehi, UT"
Last Chance Sales,0.0,0,,Thrift Stores,40.728677635275,-111.938748036054,"1899 S Redwood Rd Ste B1 Salt Lake City, UT 84104","Lehi, UT"
Deseret Industries Stores,3.0,31,$,"Thrift Stores, Donation Center",40.675561,-111.890468,"11 E 4500th S Salt Lake City, UT 84107","Lehi, UT"
Savers,2.2,23,$,"Thrift Stores, Donation Center",40.6809234,-111.9373108,"4145 S Redwood Rd Taylorsville, UT 84123","Lehi, UT"
"Crazy Ladies Consignment, Thrift Store & More",3.7,3,,"Used, Vintage & Consignment, Thrift Stores",40.742056,-111.900016,"1236 S 300th W Salt Lake City, UT 84101","Lehi, UT"
Electronic Thrift  Optic,0.0,0,,"Thrift Stores, Electronics, Eyewear & Opticians",40.64578120405,-111.494917105725,"Marsac Ave Park City, UT 84060","Lehi, UT"
Strawberry Mansion,3.7,3,,"Antiques, Furniture Stores, Thrift Stores",40.75,-111.88322,"265 E 900th S Salt Lake City, UT 84111","Lehi, UT"
Lone Pine Gear Exchange,4.5,32,,"Ski & Snowboard Shops, Outdoor Gear, Thrift Stores",40.700246,-111.811726,"2835 E 3300th S Salt Lake City, UT 84109","Lehi, UT"
Indy Clover,3.3,3,,Thrift Stores,40.63399341163365,-111.8899653862477,"6223 S State St Murray, UT 84107","Lehi, UT"
Preloved,0.0,0,,Thrift Stores,40.112995990591294,-111.6543113,"244 N Main St Spanish Fork, UT 84660","Lehi, UT"
This&That Reselling,1.0,1,,Thrift Stores,40.67366581075204,-111.86505761398077,"4500 S 900th E Salt Lake City, UT 84117","Lehi, UT"
Deseret Industries Thrift Store & Donation Center,0.0,0,,"Thrift Stores, Donation Center",40.558809,-112.299412,"1575 N 30th W Tooele, UT 84074","Lehi, UT"
Salt Lake Valley Habitat For Humanity ReStore,3.2,25,,"Community Service/Non-Profit, Thrift Stores",40.7421352,-111.9061378,"1276 S 500th W Salt Lake City, UT 84101","Lehi, UT"
Willy's Deals  Thrift Stores,0.0,0,,"Thrift Stores, Antiques",40.70001,-111.86794,"805 E 3300th S Salt Lake City, UT 84106","Lehi, UT"
Melly's Thrift Store,0.0,0,,Thrift Stores,40.71345,-111.83495,"2683 Preston St Salt Lake City, UT 84106","Lehi, UT"
Revive Thrift Boutique,0.0,0,,"Used, Vintage & Consignment, Thrift Stores",40.74956140915989,-111.8811988,"342 E 900 S Salt Lake City, UT 84111","Lehi, UT"
Salt Lake Tribune,1.6,25,,"Bookstores, Thrift Stores",40.7684921,-111.9028336,"90 S 400 West Ste 700 Salt Lake City, UT 84101","Lehi, UT"
Hy & Mike's Bail Bonds & Pawn,2.3,3,,"Pawn Shops, Financial Services, Thrift Stores",40.7581558227539,-111.938583374023,"505 S Redwood Rd Salt Lake City, UT 84104","Lehi, UT"
Red Barn Thrift,5.0,1,,Thrift Stores,40.988312834156346,-111.9104615411041,"1067 Grand Ave Ste 104 Farmington, UT 84025","Highland, UT"
Thrifting Simply,5.0,1,,"Thrift Stores, Donation Center, Used, Vintage & Consignment",41.070166361336085,-111.9775538,"717 N Main St Layton, UT 84041","Highland, UT"
Lost & Found Thrift,4.2,33,$,"Thrift Stores, Antiques, Hobby Shops",40.88447,-111.878681,"75 E 500th S Bountiful, UT 84010","Highland, UT"
Goodwill Store,2.6,16,,"Thrift Stores, Donation Center",41.072805332839565,-111.9849479,"1010 West Hill Field Rd Layton, UT 84041","Highland, UT"
Deseret Industries - Layton,3.6,25,$,"Thrift Stores, Donation Center",41.072917,-111.982573,"930 W Hillfield Rd Ste C Layton, UT 84041","Highland, UT"
Deseret Industries Stores,3.2,15,$,Thrift Stores,40.905948,-111.876506,"158 E Pages Ln Centerville, UT 84014","Highland, UT"
Savers,2.2,32,$,"Thrift Stores, Donation Center",41.0733401,-111.980796,"957 N Main St Layton, UT 84041","Highland, UT"
Plato's Closet,2.1,35,$,Thrift Stores,40.884215310216,-111.887051537633,"273 W 500th S Bountiful, UT 84010","Highland, UT"
Goodwill Donation Express,0.0,0,,"Community Service/Non-Profit, Thrift Stores, Donation Center",41.08826,-112.0401,"1761 S Bluff Ridge Dr Ste 108 Syracuse, UT 84075","Highland, UT"
